part_id,hh_id,cont_id,part_age,age,part_gender,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cnt_otherplace_family,cnt_otherplace_grandparents,cnt_hh_member,cnt_occupation,cnt_household_id
6927,BE106927,692711,12,12,M,M,0,0,1,0,0,0,1,1,2,false,false,N,5,6927692711
6927,BE106927,692712,12,12,M,M,0,0,1,0,0,0,1,1,2,false,false,N,5,6927692712
6927,BE106927,692713,12,12,M,M,0,0,1,0,0,0,1,2,4,false,false,N,5,6927692713
6927,BE106927,692714,12,55,M,F,0,0,1,0,0,0,1,2,3,false,false,N,1,6927692714
6927,BE106927,692715,12,12,M,F,0,0,1,0,0,0,1,2,3,false,false,N,5,6927692715
6927,BE106927,692716,12,12,M,F,0,0,1,0,0,0,1,2,3,false,false,N,5,6927692716
6927,BE106927,692717,12,12,M,F,0,0,1,0,0,0,1,2,2,false,false,N,5,6927692717
6927,BE106927,692718,12,12,M,F,0,0,1,0,0,0,1,2,2,false,false,N,5,6927692718
6927,BE106927,692719,12,12,M,F,0,0,1,0,0,0,1,2,2,false,false,N,5,6927692719
6927,BE106927,692720,12,47,M,F,0,0,1,0,0,0,1,2,3,false,false,N,1,6927692720
6927,BE106927,692721,12,12,M,M,0,0,1,0,0,0,1,2,1,false,false,N,5,6927692721
6927,BE106927,692722,12,37,M,F,0,0,0,0,0,1,2,2,1,false,false,N,1,6927692722
6927,BE106927,692723,12,40,M,F,0,0,0,0,0,1,2,2,2,false,false,N,1,6927692723
6927,BE106927,692724,12,12,M,M,0,0,0,0,0,1,2,1,4,false,false,N,5,6927692724
6927,BE106927,692725,12,12,M,M,0,0,0,0,0,1,2,1,4,false,false,N,5,6927692725
6927,BE106927,692726,12,27,M,M,0,0,0,0,0,1,2,1,3,false,false,N,1,6927692726
6927,BE106927,692727,12,22,M,M,0,0,0,0,0,1,2,1,3,false,false,N,1,6927692727
6927,BE106927,692728,12,40,M,M,0,0,0,0,0,1,2,1,1,false,false,N,1,6927692728
6927,BE106927,692729,12,40,M,M,0,0,0,0,0,1,2,1,1,false,false,N,1,6927692729
6927,BE106927,692730,12,27,M,M,0,0,0,0,0,1,2,1,2,false,false,N,6,6927692730
6927,BE106927,692731,12,12,M,M,0,0,0,0,0,1,2,1,3,false,false,N,5,6927692731
6927,BE106927,692732,12,12,M,M,0,0,0,0,0,1,2,1,3,false,false,N,5,6927692732
6927,BE106927,692733,12,12,M,M,0,0,0,0,0,1,2,1,3,false,false,N,5,6927692733
6927,BE106927,692734,12,12,M,M,0,0,0,0,0,1,2,1,2,false,false,N,5,6927692734
6927,BE106927,692735,12,12,M,M,0,0,0,0,0,1,2,1,2,false,false,N,5,6927692735
6927,BE106927,692736,12,12,M,M,0,0,0,0,0,1,2,1,2,false,false,N,5,6927692736
6927,BE106927,692737,12,12,M,M,0,0,0,0,0,1,2,1,2,false,false,N,5,6927692737
6927,BE106927,692738,12,12,M,M,0,0,0,0,0,1,2,1,3,false,false,N,5,6927692738
6927,BE106927,692739,12,12,M,M,0,0,0,0,0,1,2,1,3,false,false,N,5,6927692739
6927,BE106927,692740,12,12,M,M,0,0,0,0,0,1,2,1,3,false,false,N,5,6927692740
6927,BE106927,692741,12,12,M,M,0,0,0,0,0,1,2,1,3,false,false,N,5,6927692741
6927,BE106927,692742,12,12,M,M,0,0,0,0,0,1,2,1,2,false,false,N,5,6927692742
6927,BE106927,692743,12,12,M,M,0,0,0,0,0,1,2,1,3,false,false,N,5,6927692743
6927,BE106927,692744,12,12,M,M,0,0,0,0,0,1,2,1,3,false,false,N,5,6927692744
6927,BE106927,692745,12,12,M,M,0,0,0,0,0,1,2,1,2,false,false,N,5,6927692745
6927,BE106927,692746,12,11,M,M,0,0,0,0,0,1,2,2,1,false,false,N,5,6927692746
6927,BE106927,692747,12,11,M,M,0,0,0,0,0,1,2,2,1,false,false,N,5,6927692747
6927,BE106927,692748,12,11,M,M,0,0,0,0,0,1,2,2,1,false,false,N,5,6927692748
6927,BE106927,692749,12,11,M,M,0,0,0,0,0,1,2,2,1,false,false,N,5,6927692749
6927,BE106927,692750,12,41,M,M,0,0,0,0,0,1,2,2,2,false,false,N,1,6927692750
9930,BE109930,993001,45,23,M,M,0,1,0,0,0,0,1,2,5,false,false,N,1,9930993001
9930,BE109930,993002,45,45,M,M,0,1,0,0,0,0,1,2,5,false,false,N,1,9930993002
9930,BE109930,993003,45,45,M,M,0,1,0,0,0,0,1,2,4,false,false,N,1,9930993003
9930,BE109930,993004,45,45,M,M,0,1,0,0,0,0,1,2,5,false,false,N,1,9930993004
9930,BE109930,993005,45,45,M,M,0,1,0,0,0,0,1,2,4,false,false,N,1,9930993005
9930,BE109930,993006,45,45,M,M,0,1,0,0,0,0,1,2,4,false,false,N,1,9930993006
9930,BE109930,993007,45,23,M,M,0,1,0,0,0,0,1,2,4,false,false,N,1,9930993007
9930,BE109930,993008,45,19,M,M,0,1,0,0,0,0,1,2,4,false,false,N,5,9930993008
9930,BE109930,993009,45,45,M,M,0,1,0,0,0,0,1,2,4,false,false,N,1,9930993009
9930,BE109930,993010,45,45,M,M,0,0,0,0,1,0,2,1,4,false,false,N,1,9930993010
9930,BE109930,993011,45,45,M,M,0,0,0,0,1,0,2,1,4,false,false,N,1,9930993011
