part_id,hh_id,part_age,part_gender,part_occupation
869675,BE10869675,24,F,1
871264,BE10871264,76,M,2
874422,BE10874422,55,M,1
876164,BE10876164,27,F,5
878600,BE10878600,51,F,3
878809,BE10878809,58,F,2
879982,BE10879982,17,M,5
881301,BE10881301,14,F,5
883085,BE10883085,42,F,1
883511,BE10883511,78,M,2
884944,BE10884944,47,F,1
885323,BE10885323,50,F,3
886395,BE10886395,61,F,3
892394,BE10892394,54,F,3
892572,BE10892572,36,F,1
895396,BE10895396,39,F,1
898358,BE10898358,44,F,1
899590,BE10899590,1,M,3
901352,BE10901352,45,M,1
901586,BE10901586,19,M,1
902398,BE10902398,51,M,4
902660,BE10902660,27,M,1
905077,BE10905077,52,F,1
906618,BE10906618,76,M,2
907565,BE10907565,52,F,1
909993,BE10909993,78,F,6
910862,BE10910862,10,M,5
913997,BE10913997,3,M,5
915270,BE10915270,26,F,1
921579,BE10921579,50,F,1
926690,BE10926690,66,F,3
930186,BE10930186,64,F,2
930187,BE10930187,2,M,6
930308,BE10930308,46,M,1
930356,BE10930356,48,F,1
930901,BE10930901,68,F,2
930964,BE10930964,7,F,5
931504,BE10931504,68,F,2
936337,BE10936337,52,F,1
938549,BE10938549,52,F,1
944692,BE10944692,4,F,5
944749,BE10944749,53,F,1
944990,BE10944990,51,F,1
945296,BE10945296,35,F,1
945501,BE10945501,51,M,1
946711,BE10946711,63,F,2
952348,BE10952348,60,F,2
953000,BE10953000,11,M,5
959305,BE10959305,52,F,1
962023,BE10962023,49,M,1
964077,BE10964077,18,F,5
964389,BE10964389,43,F,5
967582,BE10967582,54,F,1
968599,BE10968599,14,M,5
969754,BE10969754,3,M,5
972028,BE10972028,14,F,5
975577,BE10975577,64,M,2
979882,BE10979882,1,M,6
980672,BE10980672,18,F,5
981565,BE10981565,12,F,5
981597,BE10981597,44,F,1
983741,BE10983741,48,F,1
985649,BE10985649,18,F,5
988228,BE10988228,1,F,6
990252,BE10990252,66,M,2
990294,BE10990294,32,M,1
990329,BE10990329,78,M,2
990337,BE10990337,18,M,5
992362,BE10992362,36,M,1
996719,BE10996719,46,M,1
1000843,BE101000843,53,M,6
1003610,BE101003610,56,F,2
1005126,BE101005126,40,M,1
1005762,BE101005762,26,F,1
1005905,BE101005905,14,M,5
1011828,BE101011828,82,M,2
1016821,BE101016821,59,F,4
1017095,BE101017095,2,F,3
1019095,BE101019095,83,F,3
1019574,BE101019574,48,F,1
1026157,BE101026157,52,M,2
1027212,BE101027212,73,F,3
1028025,BE101028025,19,M,5
1029936,BE101029936,76,F,2
1030663,BE101030663,51,F,1
1037871,BE101037871,37,M,1
1041723,BE101041723,28,M,1
1043071,BE101043071,49,F,1
1051948,BE101051948,8,F,5
1053693,BE101053693,13,M,5
1054233,BE101054233,21,M,5
1057283,BE101057283,41,M,1
1057506,BE101057506,38,M,1
1060168,BE101060168,52,F,4
1064981,BE101064981,24,F,4
1067418,BE101067418,9,F,5
1068095,BE101068095,71,F,3
1068149,BE101068149,76,F,2
1068877,BE101068877,79,F,2
1072212,BE101072212,41,F,1
1072456,BE101072456,49,F,1
1075546,BE101075546,12,F,5
1076443,BE101076443,73,M,2
1081630,BE101081630,3,M,5
1084847,BE101084847,42,F,1
1085840,BE101085840,14,F,5
1086599,BE101086599,38,F,1
1088788,BE101088788,73,M,2
1090305,BE101090305,28,M,1
1091460,BE101091460,62,F,2
1096591,BE101096591,68,F,3
1104249,BE101104249,0,M,3
1105569,BE101105569,27,M,1
1107712,BE101107712,29,F,1
1113927,BE101113927,55,F,1
1114184,BE101114184,20,M,1
1114887,BE101114887,35,F,1
1115018,BE101115018,54,F,1
1117070,BE101117070,69,F,2
1123048,BE101123048,6,M,5
1126974,BE101126974,5,F,5
1128879,BE101128879,27,F,1
1129094,BE101129094,6,F,5
1136587,BE101136587,45,F,1
1138872,BE101138872,37,F,1
1139114,BE101139114,5,M,5
1139663,BE101139663,35,F,1
1142837,BE101142837,6,M,5
1142887,BE101142887,54,M,1
1143659,BE101143659,27,F,1
1143801,BE101143801,41,M,1
1144615,BE101144615,26,M,1
1149676,BE101149676,8,M,5
1152737,BE101152737,59,M,2
1154720,BE101154720,15,M,5
1158201,BE101158201,44,M,1
1158611,BE101158611,68,F,2
1159748,BE101159748,32,M,1
1161155,BE101161155,49,M,1
1161194,BE101161194,38,F,1
1163713,BE101163713,21,M,5
1164032,BE101164032,22,M,5
1164069,BE101164069,50,M,1
1164567,BE101164567,54,F,2
1167219,BE101167219,87,F,2
1168759,BE101168759,35,F,1
1169919,BE101169919,41,F,1
1174403,BE101174403,33,F,1
1179706,BE101179706,30,M,1
1186038,BE101186038,22,F,5
1186234,BE101186234,50,F,1
1189640,BE101189640,12,F,5
1190016,BE101190016,2,M,5
1191518,BE101191518,51,F,1
1192108,BE101192108,59,M,4
1196216,BE101196216,62,M,2
1196611,BE101196611,54,F,2
1203886,BE101203886,30,M,1
1204174,BE101204174,42,F,1
1207442,BE101207442,33,F,1
1207547,BE101207547,43,F,1
1208537,BE101208537,7,M,5
1215498,BE101215498,39,M,6
1218302,BE101218302,52,F,1
1219128,BE101219128,10,M,5
1220261,BE101220261,41,F,1
1221734,BE101221734,51,F,1
1221862,BE101221862,36,F,1
1230767,BE101230767,52,M,1
1230823,BE101230823,38,M,4
1231269,BE101231269,2,M,3
1234370,BE101234370,8,M,5
1237639,BE101237639,27,M,1
1240798,BE101240798,50,F,4
1242890,BE101242890,0,M,3
1245737,BE101245737,36,M,1
1245844,BE101245844,2,M,5
1249311,BE101249311,50,F,1
1250302,BE101250302,44,F,1
1250694,BE101250694,72,M,2
1256412,BE101256412,60,M,2
1257498,BE101257498,27,F,1
1260167,BE101260167,46,F,1
1262512,BE101262512,26,M,1
1264568,BE101264568,9,F,5
1266981,BE101266981,55,M,1
1268013,BE101268013,48,F,1
1273277,BE101273277,35,F,5
1273449,BE101273449,85,F,2
1273685,BE101273685,39,M,1
1280349,BE101280349,16,F,5
1280774,BE101280774,36,F,1
1281859,BE101281859,7,F,5
1281955,BE101281955,39,F,1
1285390,BE101285390,39,F,1
1288568,BE101288568,51,F,1
1289390,BE101289390,66,F,3
1289728,BE101289728,58,M,1
1289836,BE101289836,48,M,1
1290552,BE101290552,61,M,1
1293783,BE101293783,38,M,1
1294183,BE101294183,8,F,5
1295545,BE101295545,20,M,5
1296975,BE101296975,36,F,1
1299019,BE101299019,12,M,5
1306089,BE101306089,72,M,2
1310075,BE101310075,58,F,1
1310696,BE101310696,47,F,1
1325029,BE101325029,37,M,1
1336510,BE101336510,84,F,3
1340820,BE101340820,31,F,1
1342863,BE101342863,84,F,3
1346824,BE101346824,47,M,1
1346909,BE101346909,44,F,1
1348959,BE101348959,20,M,5
1352674,BE101352674,19,M,1
1352968,BE101352968,40,F,1
1354524,BE101354524,31,F,1
1357391,BE101357391,47,M,1
1358280,BE101358280,26,F,1
1361510,BE101361510,45,M,1
1370065,BE101370065,40,M,1
1372432,BE101372432,34,F,1
1375124,BE101375124,40,F,1
1378696,BE101378696,17,F,5
1378993,BE101378993,49,F,1
1379123,BE101379123,53,M,1
1382751,BE101382751,8,F,5
1384393,BE101384393,67,F,3
1385400,BE101385400,8,M,5
1391789,BE101391789,18,F,5
1393380,BE101393380,64,F,3
1397854,BE101397854,65,M,2
1397948,BE101397948,25,M,4
1398226,BE101398226,2,F,6
1398299,BE101398299,34,F,1
1403246,BE101403246,2,M,5
1403382,BE101403382,90,M,2
1404809,BE101404809,4,M,5
1407117,BE101407117,29,M,1
1409165,BE101409165,61,M,1
1409385,BE101409385,3,F,5
1411279,BE101411279,12,M,5
1420558,BE101420558,9,M,5
1422353,BE101422353,71,F,2
1425561,BE101425561,8,M,5
1428182,BE101428182,65,F,2
1428300,BE101428300,42,M,1
1429667,BE101429667,64,M,2
1429847,BE101429847,29,F,1
1436300,BE101436300,44,F,1
1436931,BE101436931,49,M,1
1451224,BE101451224,34,M,1
1452695,BE101452695,0,M,3
1453162,BE101453162,49,F,4
1455031,BE101455031,44,F,1
1459913,BE101459913,0,F,6
1461819,BE101461819,45,M,1
1472986,BE101472986,17,F,5
1473067,BE101473067,40,F,1
1473125,BE101473125,10,M,5
1475520,BE101475520,53,F,1
1476145,BE101476145,28,M,1
1478840,BE101478840,38,F,1
1481870,BE101481870,10,F,5
1482261,BE101482261,54,M,1
1489215,BE101489215,15,F,5
1491454,BE101491454,49,F,1
1494532,BE101494532,41,F,4
1495481,BE101495481,19,M,5
1496421,BE101496421,92,M,2
1500946,BE101500946,5,M,6
1504206,BE101504206,6,F,5
1504650,BE101504650,49,F,1
1505530,BE101505530,3,F,5
1509942,BE101509942,38,F,4
1510259,BE101510259,17,M,5
1523563,BE101523563,46,F,1
1523808,BE101523808,0,M,6
1524177,BE101524177,42,M,1
1530368,BE101530368,51,F,4
1532781,BE101532781,73,M,2
1541431,BE101541431,11,F,5
1549459,BE101549459,39,M,1
1554236,BE101554236,0,M,6
1558381,BE101558381,1,M,3
1558614,BE101558614,23,F,1
1559561,BE101559561,6,F,5
1576626,BE101576626,15,M,5
1576712,BE101576712,15,F,5
1578453,BE101578453,11,M,5
1579597,BE101579597,7,F,5
1584740,BE101584740,30,F,1
1586919,BE101586919,9,M,5
1588703,BE101588703,54,M,3
1590034,BE101590034,49,M,1
1590470,BE101590470,71,F,3
1590819,BE101590819,7,M,5
1591007,BE101591007,46,M,1
1595935,BE101595935,30,M,1
1598270,BE101598270,0,F,6
1599519,BE101599519,28,F,1
1600998,BE101600998,43,M,1
1605343,BE101605343,42,F,1
1606352,BE101606352,24,F,5
1608191,BE101608191,61,M,2
1609278,BE101609278,64,M,6
1611006,BE101611006,46,F,1
1612529,BE101612529,31,F,1
1612821,BE101612821,70,F,2
1613849,BE101613849,51,F,1
