part_id,part_age,part_gender,part_occupation
2473323,17,M,4
2482913,44,F,1
2485951,38,F,1
2489802,25,F,1
2496352,40,M,1
2496631,64,F,3
2501732,4,M,5
2505741,37,F,1
2511699,0,M,3
2516851,5,M,5
2528049,34,M,1
2528346,25,M,4
2533469,31,M,1
2541959,30,M,1
2545230,6,M,5
2546079,41,M,1
2553198,25,M,1
2556108,48,M,1
2585315,4,F,5
2589048,1,M,6
2591605,43,F,1
2591733,37,M,1
2598797,48,F,1
2601374,39,M,1
2603127,63,M,1
2605968,61,F,1
2607214,3,M,5
2613423,37,F,1
2613518,68,F,3
2613661,64,M,1
2621453,18,F,5
2626384,53,M,1
2626551,70,F,3
2627768,41,M,1
2631063,42,F,1
2636496,65,F,2
2638432,30,M,1
2645271,76,F,3
2647640,59,M,6
2651459,5,F,5
2656084,69,M,2
2661109,57,M,1
2672187,40,F,1
2672467,6,F,5
2673573,11,M,5
2675315,80,F,2
2676206,67,F,3
2678767,61,M,2
2678931,61,F,2
2681720,53,F,1
2686104,72,F,1
2686343,67,M,2
2691672,42,F,1
2691920,70,F,2
2692321,14,M,5
2692840,57,F,1
2697780,52,M,6
2701654,85,M,2
2712498,74,M,1
2713330,65,M,2
2714119,12,F,5
2715793,65,M,2
2723580,54,M,1
2723674,12,M,5
2724060,75,M,2
2724293,45,M,1
2729287,35,F,1
2736727,40,M,1
2736739,31,M,1
2740099,30,F,1
2747591,7,M,5
2748362,64,M,2
2751127,74,M,2
2756729,79,F,2
2757722,29,F,1
2759044,19,M,5
2759099,87,M,2
2759539,22,F,1
2759712,2,M,6
2763650,75,M,2
2763672,75,F,2
2766265,13,M,5
2783682,41,M,1
2789698,65,F,3
2790360,36,F,1
2792458,70,F,3
2793199,34,M,1
2795082,6,F,5
2803622,73,F,2
2803803,85,F,3
2806325,61,M,1
2807433,15,F,5
2811754,54,F,1
2813396,29,M,1
2814886,51,F,4
2815216,56,F,1
2820105,52,F,3
2822648,31,F,1
2822879,42,F,1
2828287,61,M,1
2828289,48,F,1
2831477,43,F,1
2838088,59,M,1
2839538,71,M,2
2846027,74,F,2
2849488,86,M,2
2850711,17,F,5
2850744,56,M,1
2853154,75,M,2
2854574,62,F,3
2854577,9,F,5
2859073,46,F,1
2859602,8,F,5
2862381,54,F,2
2862666,46,F,1
2863098,79,M,2
2863317,72,M,2
2863402,51,F,1
2869092,65,F,3
2869751,86,M,1
2869977,62,F,3
2872531,51,F,1
2873291,46,M,1
2873818,70,F,3
2874154,55,F,1
2874238,60,F,2
2874275,65,F,2
2875299,10,M,5
2885647,28,F,1
2895951,69,F,2
2900193,4,M,5
2901209,58,F,1
2901622,88,M,2
2905592,39,F,1
2923174,25,M,1
2926408,8,F,5
2935186,2,F,3
2942079,52,F,1
2942861,38,M,1
2943593,5,F,5
2947350,41,M,1
2969313,9,F,5
2969409,28,M,1
2972217,52,F,3
2972721,89,F,2
2972727,46,F,1
2972831,29,M,1
2973496,75,F,2
2973613,52,M,1
2990269,40,M,1
2990782,79,F,3
2991037,46,F,1
2991813,60,M,1
2992377,69,F,2
2999216,34,F,1
3010930,26,M,1
3027330,35,M,1
3033245,8,M,5
3047228,28,M,1
3062775,44,M,1
3063599,8,M,5
3070672,6,F,5
3085638,84,F,2
3127647,20,M,1
3127992,7,M,5
3128574,31,F,1
3153147,25,F,1
