id,num_contact,age,occupation
637,133,34,1
638,145,40,1
639,228,17,5
640,140,49,1
641,201,53,1
642,231,8,5
643,31,67,3
644,213,8,5
645,222,18,5
646,22,64,3
647,11,65,3
648,24,25,3
649,21,2,3
650,225,34,1
651,229,2,5
652,31,90,3
653,233,4,5
654,248,29,1
655,225,61,1
656,240,3,5
657,246,12,5
658,210,9,5
659,6,71,3
660,253,8,5
661,7,65,3
662,117,42,1
663,25,64,3
664,121,29,1
665,108,44,1
666,244,49,1
667,242,34,1
668,14,0,3
669,13,49,3
670,227,44,1
671,18,0,3
672,258,45,1
673,212,17,5
674,136,40,1
675,228,10,5
676,242,53,1
677,117,28,1
678,221,38,1
679,257,10,5
680,128,54,1
681,245,15,5
682,129,49,1
683,21,41,3
684,220,19,5
685,28,92,3
686,210,5,5
687,252,6,5
688,245,49,1
689,228,3,5
690,26,38,3
691,212,17,5
692,127,46,1
693,5,0,3
694,218,42,1
695,19,51,3
696,21,73,3
697,230,11,5
698,245,39,1
699,8,0,3
700,20,1,3
701,140,23,1
702,226,6,5
703,239,15,5
704,224,15,5
705,229,11,5
706,228,7,5
707,126,30,1
708,230,9,5
709,12,54,3
710,116,49,1
711,25,71,3
712,228,7,5
713,148,46,1
714,121,30,1
715,14,0,3
716,230,28,1
717,120,43,1
718,109,42,1
719,206,24,5
720,18,61,3
721,22,64,3
722,226,46,1
723,270,31,1
724,3,70,3
725,130,51,1
726,235,43,1
727,125,35,1
728,205,28,1
729,96,49,1
730,130,32,1
731,118,47,1
732,97,28,1
733,228,41,1
734,130,50,1
735,247,26,1
736,187,16,5
737,243,47,1
738,31,70,3
739,228,34,1
740,133,49,1
741,20,58,3
742,3,0,3
743,201,43,1
744,245,26,1
745,27,63,3
746,118,26,1
747,225,44,1
748,247,8,5
749,239,51,1
750,120,51,1
751,19,65,3
752,150,24,1
753,274,41,1
754,120,53,1
755,6,77,3
756,127,37,1
757,119,53,1
758,3,0,3
759,236,2,5
760,119,49,1
761,215,2,5
762,114,46,1
763,28,31,3
764,119,34,1
765,97,49,1
766,227,39,1
767,243,33,1
768,26,62,3
769,26,0,3
770,235,3,5
771,147,37,1
772,128,25,1
