id,num_contact,age,occupation
1375,27,50,3
1376,211,8,5
1377,9,89,3
1378,241,3,5
1379,236,7,5
1380,22,44,3
1381,110,44,1
1382,120,42,1
1383,131,35,1
1384,124,34,1
1385,124,79,1
1386,246,50,1
1387,246,16,5
1388,236,12,5
1389,148,53,1
1390,10,1,3
1391,220,13,5
1392,241,13,5
1393,228,39,1
1394,24,63,3
1395,138,44,1
1396,237,5,5
1397,145,28,1
1398,107,32,1
1399,113,48,1
1400,245,58,1
1401,243,5,5
1402,225,16,5
1403,21,0,3
1404,25,0,3
1405,137,40,1
1406,134,26,1
1407,232,10,5
1408,11,62,3
1409,6,64,3
1410,24,62,3
1411,238,27,1
1412,25,1,3
1413,110,52,1
1414,230,48,1
1415,245,29,1
1416,3,72,3
1417,215,27,1
1418,139,25,1
1419,20,39,3
1420,109,35,1
1421,233,48,1
1422,32,54,3
1423,213,21,5
1424,237,7,5
1425,109,48,1
1426,24,58,3
1427,236,27,1
1428,129,47,1
1429,131,45,1
1430,238,43,1
1431,230,6,5
1432,225,34,1
1433,124,50,1
1434,133,28,1
1435,116,35,1
1436,18,2,3
1437,200,7,5
1438,187,34,1
1439,229,43,1
1440,131,41,1
1441,127,29,1
1442,238,23,1
1443,220,25,1
1444,232,44,1
1445,243,19,5
1446,10,59,3
1447,21,72,3
1448,127,60,1
1449,211,7,5
1450,111,29,1
1451,222,44,1
1452,208,2,5
1453,124,41,1
1454,239,17,5
1455,26,53,3
1456,127,23,1
1457,204,9,5
1458,128,24,1
1459,99,40,1
1460,28,75,3
1461,198,10,5
1462,219,12,5
1463,7,64,3
1464,140,29,1
1465,106,53,1
1466,250,47,1
1467,106,43,1
1468,232,43,1
1469,25,67,3
1470,19,89,3
1471,128,63,1
1472,7,63,3
1473,137,36,1
1475,135,26,1
1476,114,46,1
1477,212,8,5
1478,24,68,3
1479,205,48,1
1480,222,57,1
1481,23,58,3
1482,123,25,1
1483,28,61,3
1484,34,39,3
1485,215,11,5
1486,222,21,5
1487,124,45,1
1488,136,32,1
1489,219,19,5
1490,132,61,1
1491,211,30,1
1492,23,68,3
1493,3,22,3
1494,124,30,1
1495,21,70,3
1496,15,86,3
1497,119,40,1
1498,229,33,1
1499,113,34,1
1500,230,59,1
1501,16,87,3
1502,222,49,1
1503,15,1,3
1504,203,10,5
1505,11,79,3
1506,222,49,1
1507,235,14,5
1508,30,60,3
1509,259,17,5
1511,22,58,3
1512,136,53,1
1513,20,85,3
1514,16,66,3
1515,27,70,3
1516,1,62,3
1518,228,57,1
1519,215,4,5
1520,28,90,3
1521,28,62,3
1522,2,77,3
1523,155,46,1
1524,199,9,5
1525,222,29,1
1526,136,40,1
1527,124,52,1
1528,28,77,3
1529,212,27,1
1530,144,51,1
1531,144,48,1
1532,21,59,3
1533,35,38,3
1534,233,53,1
1535,241,10,5
1536,219,4,5
1537,211,49,1
1538,24,66,3
1539,25,71,3
1540,124,43,1
1541,239,41,1
1542,139,34,1
1543,208,45,1
1544,7,67,3
1545,25,74,3
1546,241,48,1
1547,12,73,3
1548,238,13,5
1549,218,37,1
1550,8,67,3
1551,28,66,3
1552,18,87,3
1553,125,53,1
1554,214,13,5
1555,16,59,3
1556,116,37,1
1557,7,69,3
1558,240,61,1
1559,248,5,5
1560,139,22,1
1561,193,14,5
1562,114,57,1
1563,34,82,3
1564,129,33,1
1565,239,18,5
1566,124,37,1
1567,118,55,1
1568,229,49,1
1569,4,79,3
1570,216,47,1
1571,27,61,3
1572,22,63,3
1573,19,93,3
1574,248,18,5
1575,214,42,1
1576,148,54,1
1577,16,0,3
1578,21,63,3
1579,222,20,5
1580,160,44,1
1581,17,74,3
1582,240,43,1
1583,238,43,1
1584,26,53,3
1585,136,46,1
1586,229,27,1
1587,15,61,3
1588,216,17,5
